,Company,Street,City,St,ZIPCode,isValid
0,BEND PAWN & TRADING CO-LAPINE,52504 U.S. 97,LA PINE,OR,97739,no
1,CARDIOSTART RESALE THRIFT STR,435 W CASCADE AVE,SISTERS,OR,97759,yes
2,CASH AMERICA PAWN,2618 W INTERSTATE 20,GRAND PRAIRIE,TX,75052-7031,yes
3,DAV THRIFT STORE,2310 ROCK ISLAND RD,IRVING,TX,75060-2409,yes
4,NEW THRIFT STORE,3359 W WALNUT ST,GARLAND,TX,75042-7160,yes
5,POLK FLEA MARKET,520 S PACIFIC HWY,RICKREALL,OR,97371,yes
6,PORTLAND SATURDAY MARKET,2 SW NAITO PKWY,PORTLAND,OR,97204,yes
7,POSSIBILITIES THRIFT STORE,U.S. 97,MADRAS,OR,97741,no
8,SHERWOOD SATURDAY MARKET,22622 SW PINE ST,SHERWOOD,OR,97140,yes
9,TRADERS VILLAGE GRAND PRAIRIE,2602 MAYFIELD RD,GRAND PRAIRIE,TX,75052-7246,yes
10,TRASH TO TREASURE,4432 SANTIAM HIGHWAY,SWEET HOME,OR,97386,no
